pore_left_x,pore_right_x,pore_front_y,pore_back_y,pore_top_z,pore_bot_z
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
