throat_list,pore_i,pore_j,throat_diameter,throat_length,hydr_cond
0,0,41,1.4422205101855955e-05,7.245598263915902e-06,1.5671980840776242e-15
1,0,143,9.999999999999999e-06,5.815449539519925e-06,6.187082150614067e-16
2,1,189,9.999999999999999e-06,3.67506881377358e-05,9.817166805466099e-17
3,1,499,1.2165525060596438e-05,1.5307011167790116e-05,4.187688484946246e-16
4,1,588,8e-06,1.2983884766026547e-05,1.6805964405508313e-16
5,1,711,3.0066592756745814e-05,1.1307333494791736e-05,3.531054342739574e-15
6,2,33,2.4e-05,1.1552328159435424e-05,2.208360822671293e-15
7,2,193,1.9697715603592206e-05,1.012459351084014e-05,2.115854890084303e-15
8,2,291,1.5231546211727817e-05,1.5419307643835363e-05,9.356876328420525e-16
9,2,794,9.999999999999999e-06,1.135001363586231e-05,2.3442139301698193e-16
10,3,161,2e-06,1.1794162974622093e-05,1.5051937152747465e-17
11,3,174,2e-06,7.178490763755077e-06,2.4650622850104694e-17
12,4,5,7.2111025509279776e-06,1.767057320336545e-05,1.2337507235976012e-16
13,5,521,1.708800749063506e-05,6.5114661254551854e-06,2.208722101165507e-15
14,5,544,1.4422205101855955e-05,9.358034823699696e-06,6.841972505469376e-16
15,6,11,2.2360679774997898e-05,5.052233078640513e-07,4.5157566084865905e-14
16,6,20,9.999999999999999e-06,1.841176555281708e-06,1.945697312973424e-15
17,6,734,1.1661903789690601e-05,9.014279813235337e-06,8.330836546047387e-16
18,7,217,1.2806248474865697e-05,2.587032409395027e-05,1.3946589205118868e-16
19,7,260,1.5620499351813306e-05,1.2151582862376112e-05,7.177686467045259e-16
20,7,569,1.0198039027185568e-05,1.1574929688548469e-05,4.644254263975612e-16
21,7,638,1.6e-05,3.585076085784247e-05,3.180293397384694e-16
22,8,278,1.4422205101855955e-05,1.0842086819955148e-05,7.931900905903632e-16
23,8,397,1.9999999999999998e-05,2.893209643143851e-06,1.4744838176044858e-15
24,8,817,2.1540659228538013e-05,4.403215514898179e-06,1.2394369238624997e-15
25,9,83,1.0198039027185568e-05,2.8238435130136177e-05,1.9080015674014895e-16
26,9,366,3.224903099319419e-05,4.566784989058859e-06,9.348452824028953e-15
27,9,676,8e-06,2.8445020646569472e-05,1.894689913914804e-16
28,10,247,4.472135954999579e-06,7.736653092052672e-06,9.204236414312483e-17
