time Avg_pore_press Matrix_vol_total
0.0 299999.6044392238 5.832000000000008e-07
1.0 300013.93212291726 2.53313653813532e-07
2.0 300001.90482528013 1.7669275940695383e-07
3.0 300000.135921596 1.4392265288336875e-07
4.0 299999.7430360538 1.258236143865519e-07
5.0 299999.642880106 1.1456718847334061e-07
6.0 299999.61542947235 1.0711702409608494e-07
7.0 299999.6076263893 1.0198305626555894e-07
8.0 299999.60536953335 9.833210503328509e-08
9.0 299999.60471157316 9.566208505604463e-08
10.0 299999.6045190554 9.365575364400913e-08
