time avg_pore_press flow_rate_in flow_rate_out mat_gas_release
0.0 299999.6044392238 5.099577660768174e-09 5.099577660768174e-09 0.0
1.0 300013.93212291726 2.465510763694828e-09 8.183445522280089e-08 3.298863461892938e-07
2.0 300001.90482528013 2.465510763704339e-09 1.520861825612115e-08 7.662089440654807e-08
3.0 300000.135921596 2.465510763704339e-09 5.409684838676675e-09 3.2770106523557876e-08
4.0 299999.7430360538 2.465510763704339e-09 3.2332750783823088e-09 1.8099038496790906e-08
5.0 299999.642880106 2.465510763704339e-09 2.678456034972959e-09 1.1256425913185595e-08
6.0 299999.61542947235 2.465510763704339e-09 2.5263918047240712e-09 7.450164377229981e-09
7.0 299999.6076263893 2.465510763704339e-09 2.4831662527335985e-09 5.133967830500325e-09
8.0 299999.60536953335 2.4655107634316475e-09 2.4706642674068674e-09 3.6509512322480622e-09
9.0 299999.60471157316 2.4655107634316475e-09 2.4670194497277586e-09 2.6700199772147366e-09
10.0 299999.6045190554 2.4655107634316475e-09 2.4659530111076392e-09 2.0063314120097332e-09
